日期,本地时间,服务器时间,交易所时间,万得代码,原始代码,业务发生日(自然日), 委托号, 委托价格, 委托数量, 委托类别, 委托代码, 经纪商编码, 委托状态, 标志
20160913,135448055,135448055,134132000,430495.PT,430495,20160913,99996166,55000,2000,83(S),0( ),721700,49(1),32( )
20160913,135448055,135448055,130002000,430509.PT,430509,20160913,99996652,25000,5000,83(S),0( ),721800,49(1),32( )
20160913,135448055,135448055,130004000,430513.PT,430513,20160913,99996629,200000,10000,83(S),0( ),720100,49(1),32( )
20160913,135448055,135448055,130000000,430516.PT,430516,20160913,99996763,84000,5000,83(S),0( ),723900,49(1),32( )
20160913,135448055,135448055,134538000,430521.PT,430521,20160913,99996132,15000,6000,66(B),0( ),721500,49(1),32( )
20160913,135448055,135448055,105533000,430527.PT,430527,20160913,99997148,79800,36000,83(S),0( ),723000,49(1),32( )
20160913,135448055,135448055,133407000,430539.PT,430539,20160913,99996262,99900,1000,83(S),0( ),721700,49(1),32( )
20160913,135448055,135448055,93248000,430551.PT,430551,20160913,99999151,276000,89000,83(S),0( ),727800,49(1),32( )
20160913,135448055,135448055,130000000,430552.PT,430552,20160913,99996712,41500,1000,83(S),0( ),727300,49(1),32( )
20160913,135448055,135448055,111525000,430562.PT,430562,20160913,99996885,51000,3000,83(S),0( ),721800,49(1),32( )
20160913,135448055,135448055,95900000,430616.PT,430616,20160913,99998131,37500,10000,83(S),0( ),722500,49(1),32( )
20160913,135448055,135448055,102152000,430627.PT,430627,20160913,99997647,130000,17000,83(S),0( ),724000,49(1),32( )
20160913,135448055,135448055,93848000,430638.PT,430638,20160913,99998860,191800,2000,83(S),0( ),722900,49(1),32( )
20160913,135448055,135448055,130818000,430639.PT,430639,20160913,99996558,10000,5000,66(B),0( ),725300,49(1),32( )
20160913,135448055,135448055,130001000,430647.PT,430647,20160913,99996686,4000,2000,66(B),0( ),720300,49(1),32( )
20160913,135448055,135448055,102034000,430657.PT,430657,20160913,99997665,28800,50000,66(B),0( ),724600,49(1),32( )
20160913,135448055,135448055,112512000,430659.PT,430659,20160913,99996803,34500,1000,83(S),0( ),721000,49(1),32( )
20160913,135448056,135448056,135001000,430707.PT,430707,20160913,99996090,92200,2000,66(B),0( ),721600,49(1),32( )
20160913,135448056,135448056,130000000,430743.PT,430743,20160913,99996697,83500,2000,83(S),0( ),724800,49(1),32( )
20160913,135448056,135448056,101454000,430748.PT,430748,20160913,99997747,66600,1000,83(S),0( ),721300,49(1),32( )
20160913,135448056,135448056,132410000,430753.PT,430753,20160913,99996382,22000,5000,66(B),0( ),723900,49(1),32( )
20160913,135448056,135448056,95351000,830773.PT,830773,20160913,99998284,13900,15000,83(S),0( ),721700,49(1),32( )
20160913,135448056,135448056,135234000,830774.PT,830774,20160913,99996064,17000,8000,83(S),0( ),724800,49(1),32( )
20160913,135448056,135448056,132157000,830785.PT,830785,20160913,99996406,18800,20000,83(S),0( ),724400,49(1),32( )
20160913,135448056,135448056,135404000,830788.PT,830788,20160913,99996042,10100,2000,66(B),0( ),721100,49(1),32( )
20160913,135448056,135448056,132723000,830790.PT,830790,20160913,99996341,70000,4000,83(S),0( ),721300,49(1),32( )
20160913,135448056,135448056,133705000,830796.PT,830796,20160913,99996223,15500,10000,66(B),0( ),721700,49(1),32( )
20160913,135448056,135448056,101341000,830802.PT,830802,20160913,99997767,7800,1000,66(B),0( ),721200,49(1),32( )
20160913,135448056,135448056,131112000,830806.PT,830806,20160913,99996522,308800,1000,83(S),0( ),720600,49(1),32( )
20160913,135448056,135448056,134005000,830825.PT,830825,20160913,99996185,261000,2000,83(S),0( ),723200,49(1),32( )
20160913,135448056,135448056,111541000,830848.PT,830848,20160913,99996882,130000,16000,83(S),0( ),728130,49(1),32( )
20160913,135448056,135448056,132222000,830852.PT,830852,20160913,99996403,300,30000,66(B),0( ),728010,49(1),32( )
20160913,135448056,135448056,100028000,830859.PT,830859,20160913,99998096,70000,50000,83(S),0( ),720700,49(1),32( )
20160913,135448056,135448056,93934000,830870.PT,830870,20160913,99998826,153000,10000,83(S),0( ),728130,49(1),32( )
20160913,135448056,135448056,132213000,830872.PT,830872,20160913,99996405,200,20000,66(B),0( ),728010,49(1),32( )
20160913,135448056,135448056,112207000,830875.PT,830875,20160913,99996826,64700,800000,83(S),0( ),720700,49(1),32( )
20160913,135448056,135448056,135119000,830904.PT,830904,20160913,99996077,200000,10000,83(S),0( ),723200,49(1),32( )
20160913,135448056,135448056,130002000,830907.PT,830907,20160913,99996658,165000,1000,83(S),0( ),722900,49(1),32( )
20160913,135448056,135448056,135240000,830926.PT,830926,20160913,99996062,30100,12000,83(S),0( ),720200,49(1),32( )
20160913,135448056,135448056,131828000,830986.PT,830986,20160913,99996450,11400,1000,66(B),0( ),721800,49(1),32( )
20160913,135448056,135448056,132146000,830993.PT,830993,20160913,99996408,360000,1000,83(S),0( ),723300,49(1),32( )
20160913,135448056,135448056,94036000,831001.PT,831001,20160913,99998784,108000,6000,83(S),0( ),723700,49(1),32( )
20160913,135448056,135448056,135032000,831046.PT,831046,20160913,99996085,15000,10000,66(B),0( ),725500,49(1),32( )
20160913,135448056,135448056,132541000,831054.PT,831054,20160913,99996359,112000,1000,83(S),0( ),722900,49(1),32( )
20160913,135448056,135448056,95120000,831092.PT,831092,20160913,99998355,290000,20000,83(S),0( ),722400,49(1),32( )
20160913,135448056,135448056,134947000,831095.PT,831095,20160913,99996094,73800,3000,83(S),0( ),722300,49(1),32( )
20160913,135448056,135448056,103344000,831100.PT,831100,20160913,99997426,90000,1000,83(S),0( ),722500,49(1),32( )
20160913,135448056,135448056,133629000,831110.PT,831110,20160913,99996234,10500,600000,83(S),0( ),721100,49(1),32( )
20160913,135448056,135448056,130000000,831123.PT,831123,20160913,99996723,65000,5000,83(S),0( ),728130,49(1),32( )
20160913,135448056,135448056,101019000,831128.PT,831128,20160913,99997838,12000,10000,83(S),0( ),721700,49(1),32( )
20160913,135448056,135448056,95434000,831132.PT,831132,20160913,99998260,580000,5000,83(S),0( ),724500,49(1),32( )
20160913,135448056,135448056,133354000,831136.PT,831136,20160913,99996267,270000,1000,83(S),0( ),722900,49(1),32( )
