日期, 本地时间, 服务器时间, 交易所时间, 万得代码, 原始代码, 业务发生日(自然日), 交易日,状态,前收,开盘价,最高价,最低价,最新价,申卖价,申卖量,申买价,申买量,成交笔数,成交总量,成交总金额,委托买入总量,委托卖出总量,加权平均委买价格,加权平均委卖价格,IOPV净值估值,到期收益率,涨停价,跌停价,证券信息前缀,市盈率1,市盈率2,升跌2（对比上一笔）
20160913,135448054,135448054,83436000,420008.PT,420008,20160913,20160913,0( ),2780,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,420011.PT,420011,20160913,20160913,0( ),2370,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,420016.PT,420016,20160913,20160913,0( ),1700,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,420032.PT,420032,20160913,20160913,0( ),2950,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,420047.PT,420047,20160913,20160913,0( ),2850,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,420058.PT,420058,20160913,20160913,0( ),4970,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,420063.PT,420063,20160913,20160913,0( ),8400,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,133752000,430002.PT,430002,20160913,20160913,0( ),121100,119000,126500,119000,120000,124000 0 126500 0 126600 0 0 0 0 0 ,1000 0 6000 0 2000 0 0 0 0 0 ,119000 0 118500 0 118100 0 0 0 0 0 ,21000 0 5000 0 3000 0 0 0 0 0 ,0,12000,143650,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,430003.PT,430003,20160913,20160913,0( ),32000,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,133241000,430004.PT,430004,20160913,20160913,0( ),10600,0,0,0,0,15500 0 19700 0 19800 0 0 0 0 0 ,55000 0 14000 0 2000 0 0 0 0 0 ,10000 0 8800 0 7400 0 0 0 0 0 ,1000 0 11000 0 10000 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,135340000,430005.PT,430005,20160913,20160913,0( ),243800,245000,245000,242000,243000,244500 0 245000 0 249500 0 0 0 0 0 ,2000 0 32000 0 3000 0 0 0 0 0 ,241000 0 240500 0 240000 0 0 0 0 0 ,6000 0 2000 0 1000 0 0 0 0 0 ,0,21000,513650,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,132628000,430009.PT,430009,20160913,20160913,0( ),40800,0,0,0,0,40800 0 41500 0 41700 0 0 0 0 0 ,15000 0 5000 0 3000 0 0 0 0 0 ,40800 0 39000 0 38500 0 0 0 0 0 ,20000 0 5000 0 10000 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,131917000,430010.PT,430010,20160913,20160913,0( ),36000,0,0,0,0,35700 0 35800 0 36000 0 0 0 0 0 ,9000 0 5000 0 105000 0 0 0 0 0 ,15200 0 5000 0 0 0 0 0 0 0 ,10000 0 10000 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,83436000,430011.PT,430011,20160913,20160913,0( ),116900,0,0,0,0,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,133940000,430014.PT,430014,20160913,20160913,0( ),41800,42000,42400,41600,42400,42500 0 43000 0 43100 0 0 0 0 0 ,1000 0 3000 0 1000 0 0 0 0 0 ,41800 0 41000 0 40900 0 0 0 0 0 ,1000 0 1000 0 3000 0 0 0 0 0 ,0,11000,46040,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,135216000,430015.PT,430015,20160913,20160913,0( ),10500,0,0,0,0,27600 0 27700 0 27800 0 0 0 0 0 ,2000 0 3000 0 2000 0 0 0 0 0 ,10000 0 0 0 0 0 0 0 0 0 ,10000 0 0 0 0 0 0 0 0 0 ,0,0,0,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
20160913,135448054,135448054,111404000,430016.PT,430016,20160913,20160913,0( ),14000,13000,13000,13000,13000,44600 0 44700 0 44800 0 0 0 0 0 ,17000 0 1000 0 5000 0 0 0 0 0 ,13100 0 13000 0 10300 0 0 0 0 0 ,2000 0 5000 0 5000 0 0 0 0 0 ,0,4000,5200,0,0,0,0,0,0,0,0,0( ) 0( ) 0( ) 0( ) ,0,0,0
